Script Name, Function Name, Location, Expression, Boolean
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 2, 3:17-51))","(! (= this[0] absent))", true
27021.js,"VariableDeclaration[1,0].Evaluation","Some((step 2, 3:28-45))","[? %1]", true
299324.js,"ForStatement[1,0].ForLoopEvaluation","Some((step 2, 3:14-38))","[? varDcl]", true
280793.js,"ArrayAssignmentPattern[2,2].DestructuringAssignmentEvaluation","Some((step 1, 2:38-60))","[? %0]", true
395732.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 25.e.ii, 79:19-45))","(= %26 false)", false
174344.js,"DefaultClause[0,0].HasCallInTailPosition","Some((step 1, 2:17-43))","(! (= this[0] absent))", false
23999.js,"ArrayLiteral[2,0].Evaluation","Some((step 2, 3:33-98))","[? %1]", true
195231.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 6, 7:17-52))","(! (= this[2] absent))", true
291.js,"OptionalExpression[0,0].Evaluation","Some((step 1, 2:37-71))","[? %0]", true
240991.js,"AsyncArrowFunction[0,0].InstantiateAsyncArrowFunctionExpression","Some((step 1, 2:15-36))","(= name absent)", false
181927.js,"BindingIdentifier[2,0].BindingInitialization","Some((step 1, 2:19-75))","[? %0]", false
262872.js,"ArrayBindingPattern[2,3].ContainsExpression","Some((step 2, 3:15-30))","(= has true)", true
62589.js,"OptionalChain[6,0].ChainEvaluation","Some((step 2, 3:36-119))","[? %0]", true
141211.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 6, 7:15-32))","(= next false)", false
340831.js,"INTRINSICS.Array.prototype.splice","Some((step 10.a, 14:28-64))","[? %3]", true
71481.js,"CaseBlock[1,1].CaseBlockEvaluation","Some((step 13, 31:15-42))","(&& (comp? R) (! (= R.Type ~normal~)))", true
242876.js,"ElementList[2,0].ArrayAccumulation","Some((step 1, 2:33-108))","[? %0]", true
180492.js,"BindingElement[1,0].KeyedBindingInitialization","Some((step 3, 6:21-101))","[? %3]", true
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.c, 36:53-76))","[? %15]", true
289752.js,"FormalParameters[4,0].IteratorBindingInitialization","Some((step 2, 3:19-127))","[? %1]", true
