Script Name, Function Name, Location, Expression
337825.js,"DefaultClause[0,0].HasCallInTailPosition","Some((step 1, 2:17-43))","(! (= this[0] absent))"
82031.js,"ForStatement[1,1].VarScopedDeclarations","Some((step 2, 3:12 - 4:81))","Vector(let declarations2 = %1, return (list-concat declarations1 declarations2)[#240])"
266930.js,"NewExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 2, 3:17-51))","(! (= this[0] absent))"
82031.js,"ForStatement[1,1].HasCallInTailPosition","Some((step 1, 2:21-78))","sdo-call %0 = this[3]->HasCallInTailPosition(call)"
223901.js,"ArrayBindingPattern[2,1].ContainsExpression","Some((step 2, 3:15-30))","(= has true)"
373630.js,"MemberExpression[3,0].HasCallInTailPosition","Some((step 2, 3:14-29))","Vector(return false)"
337825.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 6, 7:67-137))","sdo-call %2 = this[2]->HasCallInTailPosition(call)"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 14, 32:12 - 36:77))","Vector(nop, %13 = B, %12 = 0)"
211311.js,"ForStatement[2,1].VarDeclaredNames","Some((step 1, 2:12-55))","Vector(return %0)"
104437.js,"EqualityExpression[2,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
312941.js,"ConditionalExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-106))","Vector(let has = %0)"
211311.js,"ForStatement[2,1].HasCallInTailPosition","Some((step 1, 2:14-79))","Vector(return %0)"
172525.js,"ArrayBindingPattern[2,1].IteratorBindingInitialization","Some((step 3, 5:12-125))","Vector(return [? %2])"
282074.js,"ArrayBindingPattern[2,0].ContainsExpression","Some((step 1, 2:19-61))","sdo-call %0 = this[0]->ContainsExpression()"
101760.js,"MemberExpression[3,0].Evaluation","Some((step 2, 3:33-51))","call %1 = clo<GetValue>(tagRef)"
266308.js,"AssignmentExpression[7,0].IsFunctionDefinition","Some((step 1, 2:12-27))","Vector(return false)"
257736.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 31.a.i, 105:16-78))","Vector(let result = %35)"
285452.js,"ArrayBindingPattern[2,2].IteratorBindingInitialization","Some((step 2, 3:12-107))","Vector(return [? %1])"
183452.js,"ArrayBindingPattern[2,2].BoundNames","Some((step 1, 2:12-58))","Vector(return %0)"
257736.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 25.f.ii, 93:22-59))","Vector(push staticElements < element)"
222460.js,"BindingElisionElement[0,1].IteratorBindingInitialization","Some((step 2, 3:21-120))","sdo-call %1 = this[1]->IteratorBindingInitialization(iteratorRecord, environment)"
360778.js,"CallExpression[6,0].Evaluation","Some((step 2, 3:14 - 4:54))","Vector(let tagFunc = [? %1], let thisCall = this[0])"
82031.js,"ForStatement[1,1].HasCallInTailPosition","Some((step 1, 2:14-79))","Vector(return %0)"
337825.js,"DefaultClause[0,0].HasCallInTailPosition","Some((step 2, 3:14-29))","Vector(return false)"
262872.js,"ArrayBindingPattern[2,3].ContainsExpression","Some((step 2, 3:15-30))","(= has true)"
262872.js,"ArrayBindingPattern[2,3].ContainsExpression","Some((step 2, 3:32-46))","Vector(return true)"
28281.js,"OptionalChain[7,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 4, 5:14-89))","Vector(let has = %1)"
296183.js,"BindingElisionElement[0,1].BoundNames","Some((step 1, 2:12-50))","Vector(return %0)"
282074.js,"ArrayBindingPattern[2,0].BoundNames","Some((step 1, 2:19-57))","sdo-call %0 = this[0]->BoundNames()"
172525.js,"ArrayBindingPattern[2,1].IteratorBindingInitialization","Some((step 1, 2:22-125))","sdo-call %0 = this[0]->IteratorBindingInitialization(iteratorRecord, environment)"
